id,name_zhs,name_en,rarity,description_zhs,description_en,flavor_zhs,flavor_en,class
Toy Ornithopter,玩具扑翼飞机,Toy Ornithopter,普通,你每使用一瓶 #y药水，回复 #b5 点生命。,"Whenever you use a #ypotion, heal #b5 HP.",这个小玩具最适合陪伴孤独一人的冒险者啦！,"""This little toy is the perfect companion for the lone adventurer!""",通用
Blue Candle,蓝蜡烛,Blue Candle,罕见,可以打出原本 不能被打出 的 #y诅咒牌 ，NL 打出 #y诅咒牌 会让你失去 #b1 点生命并将其 #y消耗。,"#yUnplayable #rCurse cards can now be played. NL Whenever you play a #rCurse, lose #b1 HP and #yExhaust it.",当处于黑暗中时，这支蜡烛会自动点燃。,The flame ignites when shrouded in darkness.,通用
Bottled Flame,瓶装火焰,Bottled Flame,罕见,拾起时，选择一张 #y攻击牌 。在每场战斗开始时，这张牌会出现在手牌中。,"Upon pickup, choose an #yAttack. Start each combat with this card in your hand.",在这个瓶子里，有着一团永远燃烧的火焰。,Inside the bottle resides a flame that eternally burns.,通用
Bottled Lightning,瓶装闪电,Bottled Lightning,罕见,拾起时，选择一张 #y技能牌 。在每场战斗开始时，这张牌会出现在手牌中。,"Upon pickup, choose a #ySkill. Start each combat with this card in your hand.",细看这团旋转的雷云，你仿佛能看见自己的一部分在回望着你。,"Peering into the swirling maelstrom, you see a part of yourself staring back.",通用
Bottled Tornado,瓶装旋风,Bottled Tornado,罕见,拾起时，选择一张 #y能力牌 。在每场战斗开始时，这张牌会出现在手牌中。,"Upon pickup, choose a #yPower card. Start each combat with this card in your hand.",这个瓶子中传来轻轻的嗡嗡声与嗖嗖声。,The bottle gently hums and whirs.,通用
Cables,镀金缆线,Cables,罕见,你最右侧的充能球会额外触发一次被动效果。,Your rightmost Orb triggers its passive an additional time.,"“有意思！看来就连自动机器人也会有安慰剂效应。”——兰伟德""","""Interesting! Even automatons are affected by placebo."" - Ranwid",故障机器人
Eternal Feather,永恒羽毛,Eternal Feather,罕见,你牌组中每有 #b5 张牌，当你进入休息处时就会回复 #b3 点生命。,"For every #b5 cards in your deck, heal #b3 HP whenever you enter a Rest Site.",这片羽毛似乎完全无法摧毁，会是从什么鸟身上来的呢？,This feather appears to be completely indestructible. What bird does this possibly come from?,通用
Frozen Egg,冻结之蛋,Frozen Egg,罕见,每当你获得 #y能力牌 时，将其 #y升级 。,"Whenever you add a #yPower card to your deck, it is #yUpgraded.",这个蛋冻结着，没有丝毫生气，永远也不会孵化。,"The egg lies inert and frozen, never to hatch.",通用
Bird Faced Urn,鸟面瓮,Bird Faced Urn,稀有,每当你打出一张 #y能力牌 ，回复 #b2 点生命。,"Whenever you play a #yPower card, heal #b2 HP.",这个瓮上雕着乌鸦之神Mazaleth嘲弄的样貌。,This urn shows the crow god Mazaleth looking mischievous.,通用
Darkstone Periapt,黑石护符,Darkstone Periapt,罕见,每当你获得一张 #y诅咒 ，将你的最大生命值提高 #b6,"Whenever you obtain a #rCurse, increase your Max HP by #b6",这块黑石能吸取黑暗的能量，将其转化为佩戴者的生命力。,"The stone draws power from dark energy, converting it into vitality for the wearer.",通用
Gremlin Horn,地精之角,Gremlin Horn,罕见,每当有一名敌人死亡，获得1点能量并抽 #b1 张牌。,"Whenever an enemy dies, gain an energy and draw #b1 card.",“地精大块头到死都能一直长得更大，真是厉害。”——兰伟德,Gremlin Nobs are capable of growing until the day they die. Remarkable. - Ranwid,通用
Kunai,苦无,Kunai,罕见,你每在同一回合内打出 #b3 张 #y攻击牌 ，获得 #b1点 #y敏捷 。,"Every time you play #b3 #yAttacks in a single turn, gain #b1 #yDexterity.",受到刺客喜爱的远距离利刃。,A blade favored by assassins for its lethality at range.,通用
Letter Opener,开信刀,Letter Opener,罕见,你每在同一回合内打出 #b3 张技能牌，对所有敌人造成 #b5 点伤害。,"Every time you play #b3 #ySkills in a single turn, deal #b3 damage to ALL enemies.",锋利到不自然。,Unnaturally sharp.,通用
Matryoshka,套娃,Matryoshka,罕见,你接下来打开的 #b2 个宝箱内会有 #b2 件 #y遗物 。 （Boss宝箱除外）,The next #b2 non-Boss chests you open contain #b2 #yRelics.,一套环环相套的娃娃，上面的图案是一只白眼蓝羽毛的鸟，你不知道这是只什么鸟。,A stackable set of painted dolls. The paint depicts an unknown bird with white eyes and blue feathers.,通用
Meat on the Bone,带骨肉,Meat on the Bone,罕见,如果你在战斗结束时生命值等于或低于 #b50% ，回复 #b12 点生命。,"If your HP is at or below #b50% at the end of combat, heal #b12 HP.",这块肉会不断恢复，似乎永远也不会彻底吃光。,"The meat keeps replenishing, never seeming to fully run out.",通用
Mercury Hourglass,水银沙漏,Mercury Hourglass,罕见,在你的回合开始时，对所有敌人造成 #b3 点伤害。,"At the start of your turn, deal #b3 damage to ALL enemies.",一个附加魔力的沙漏，一直都在不断滴下水银。,An enchanted hourglass that endlessly drips.,通用
Molten Egg,熔火之蛋,Molten Egg,罕见,每当你获得 #y攻击牌 时，将其 #y升级 。,"Whenever you add an #yAttack into your deck, #yUpgrade it.",凤凰的蛋，可以看到有岩浆在滋滋发热，红得发烫。,The egg of a Phoenix. It glows red hot with a simmering lava.,通用
Mummified Hand,干瘪之手,Mummified Hand,罕见,你每打出一张 #y能力牌 ，手牌中就有一张随机牌在这个回合耗能变为 #b0 。,"Whenever you play a #yPower card, a random card in your hand costs #b0 that turn.",这只手经常都在抽动，尤其是在你心跳很快的时候。,"Frequently twitches, especially when your pulse is high.",通用
Ninja Scroll,忍术卷轴,Ninja Scroll,罕见,每场战斗开始时，手牌中增加 #b3 张 #y小刀。,"At the start of each combat, add #b3 #yShivs into your hand.",暗杀秘术尽在其中。,Contains the secrets of assassination.,静默猎手
Ornamental Fan,精致折扇,Ornamental Fan,罕见,你每在同一回合内打出 #b3 张 #y攻击牌 ，就获得 #b4 点 #y格挡 。,"Every time you play #b3 #yAttacks in a single turn, gain #b4 #yBlock.",这把折扇似乎会在洒到血时自动伸展并且变硬。,The fan seems to extend and harden as blood is spilled.,通用
Pantograph,缩放仪,Pantograph,罕见,在Boss战开始时，回复 #b25点 #y力量 。,"At the start of Boss combats, heal #b25 HP.",“坚实的地基从不是出自偶然，规划工具是重中之重。”——建筑师,Solid foundations are not accidental. Tools for planning are a must.\ - The Architect,通用
Paper Crane,纸鹤,Paper Crane,罕见,有 #y虚弱 状态的敌人造成的伤害降低 #b40% 而非 #b25% 。,Enemies with #yWeak deal #b40% less damage rather than #b25%.,某种过去时代生物的折纸。,An origami of a creature from a past age.,静默猎手
Paper Frog,纸蛙,Paper Frog,罕见,有 #y易伤 状态的敌人受到的伤害增加 #b75% 而非 #b50%。,Enemies with #yVulnerable take #b75% more damage rather than #b50%.,这张纸似乎会不断自己翻折，变成某种小动物的形状。,The paper continually folds and unfolds itself into the shape of a small creature.,铁甲战士
Pear,梨子,Pear,罕见,拾起时，将你的最大生命值提升 #b10.,"Upon pickup, raise your Max HP by #b10.",在高塔荒疫发生之前十分常见的水果。,A common fruit before the Spireblight.,通用
Question Card,问号牌,Question Card,罕见,在选奖励牌时，可供选择的牌数增加 #b1 张。（拾起时同一窗口中的奖励牌不受影响）,Future card rewards have #b1 additional card to choose from.,“选择多，则不受其乱。”——忽必烈大帝,Those with more choices minimize the downside to chaos.- Kublai the Great,通用
Self Forming Clay,自成型黏土,Self Forming Clay,罕见,每当你在战斗中失去生命，就在下回合获得 #b3 点 #y格挡 。,"Whenever you lose HP, gain #b3 #yBlock next turn.",“真是有意思！这东西看起来可以按照我的想法自己成型！读心的黏土吗？”——兰伟德,Most curious! It appears to form itself loosely on my thoughts! Tele-clay? - Ranwid,通用
Shuriken,手里剑,Shuriken,罕见,你每在同一回合内打出 #b3 张 #y攻击牌 ，获得 #b1点 #y力量 。,"Every time you play #b3 #yAttacks in a single turn, gain #b1 #yStrength.",轻型的投掷武器，尤其推荐对着眼睛扔。,Lightweight throwing weapons. Recommend going for the eyes.,通用
Singing Bowl,颂钵,Singing Bowl,罕见,可以将卡牌奖励转变为 #b+2 最大生命值。,"When adding cards into your deck, you may raise your Max HP by #b2 instead.",这件被使用过无数次的法器在被敲打时会发出不绝于耳的悠扬旋律，也被称为“唱歌碗”。,This well-used artifact rings out with a beautiful melody when struck.,通用
Symbiotic Virus,共生病毒,Symbiotic Virus,罕见,在每场战斗开始时， #y生成 #b1 个 #y黑暗 充能球。,"At the start of each combat, #yChannel #b1 #yDark.",小小的麻烦 ，却可以带来大大的益处……,A little bit of bad can do a lot of good...,故障机器人
Toxic Egg,毒素之蛋,Toxic Egg,罕见,每当你获得 #y技能牌 时，将其 #y升级 。,"Whenever you add a #ySkill into your deck, #yUpgrade it.","“真是了不起的发现！这似乎是某种魔法生物已经不起作用了的蛋，究竟是谁或什么制造了这东西呢？”——兰伟德""",What a marvelous discovery! This appears to be the inert egg of some magical creature. Who or what created this? - Ranwid,通用
White Beast Statue,白兽雕像,White Beast Statue,罕见,战斗结束后必定掉落药水,Potions always appear in combat rewards.,一个小小的白色雕像，这种动物你从来没有见过。,A small white statue of a creature you have never seen before.,通用
Duality,两仪,Duality,罕见,每回合中，你每次打出一张 #y攻击牌 ，获得 #b1 点临时 #y敏捷 。,"Whenever you play an #yAttack, gain #b1 temporary #yDexterity.","“于是太阳永远熄灭了，如同天幕在其之前坠下。”——佐罗斯""","And the sun was extinguished forever, as if curtains fell before it. - Zoroth",观者
Ink Bottle,墨水瓶,InkBottle,罕见,你每打出 #b10 张牌，抽 #b1 张牌。,"Whenever you play #b10 cards, draw #b1 card.",每次用光，都会自动装满一种颜色不同的墨水。,"Once exhausted, appears to refill itself in a different color.",通用
Strike Dummy,打击木偶,StrikeDummy,罕见,名字中有“打击”的卡牌造成 #b3 点额外伤害。,"Cards containing \""Strike\"" deal #b3 additional damage.",被打得破破烂烂的。,It's beat up.,通用
Teardrop Locket,泪滴吊坠盒,TeardropLocket,罕见,每场战斗开始时处于 #y平静 。,Start each combat in #yCalm.,盒子的主人双目失明，其中的东西无人知晓。,"Its owner blind, its contents unseen.",观者
Horn Cleat,船夹板,HornCleat,罕见,在你的第二回合开始时，获得 #b14 点 #y格挡。,"At the start of your 2nd turn, gain #b14 #yBlock.",拿在手里有一种莫名的愉悦感，这是什么东西呢？,Pleasant to hold in the hand. What was it for?,通用
Calipers,外卡钳,Calipers,稀有,在你的回合开始时，不再失去所有 #y格挡 ，而是失去 #b15 点 #y格挡 。,"At the start of your turn, lose #b15 #yBlock rather than all of your #yBlock.",机械精度正是通向崇高之路。”——建筑师,"""Mechanical precision leads to greatness"" - The Architect""",通用
Champion Belt,冠军腰带,Champion Belt,稀有,每当你给予 #y易伤 时，同时给予 #b1 层 #y虚弱 。,"Whenever you apply #yVulnerable, apply #b1 #yWeak.",只有最强者才配佩戴这条腰带。,Only the greatest may wear this belt.,铁甲战士
Charon's Ashes,卡戎之灰,Charon's Ashes,稀有,每当你 #y消耗 一张牌，对所有敌人造成 #b3 点伤害。,"Whenever you #yExhaust a card, deal #b3 damage to ALL enemies.",传说中卡戎是重生的神祇，永远都在烈焰之中反复地死亡和重生。,"Charon was said to be the god of rebirth, eternally dying and reviving in a burst of flame.",铁甲战士
Du-Vu Doll,毒巫娃娃,Du-Vu Doll,稀有,你的牌组中每有一张 #y诅咒 牌，你在战斗开始时就额外获得 #b1点 #y力量。,"For each #rCurse in your deck, start each combat with #b1 #yStrength.",一个设计为能从邪恶能量中获得力量的娃娃。,A doll devised to gain strength from malicious energy.,通用
Dead Branch,枯木树枝,Dead Branch,稀有,每当你 #y消耗 一张牌，增加一张随机卡牌到你的手牌。,The branch of a tree from a forgotten era.,一个早已被遗忘的时代所遗留下来的树木枝条。,"Whenever you #yExhaust a card, add a random card into your hand.",通用
Emotion Chip,情感芯片,Emotion Chip,稀有,在每回合开始时，如果你在之前回合受到过伤害，则触发所有充能球的被动效果。,"If you lost HP during the previous turn, trigger the passive ability of all Orbs at the start of your turn.",……<3……？,...<3...?,故障机器人
Ginger,生姜,Ginger,稀有,你不会再被 #y虚弱 。,You can no longer become #yWeakened.,在许多补品中都能用上的好东西。,A potent tool in many tonics.,通用
Girya,壶铃,Girya,稀有,你现在能在休息处获得 #y力量  。（最多3次）,You can now gain #yStrength at Rest Sites (up to 3 times).,这个壶铃重到难以想象，用这个锻炼一定能变得更强。,This Girya is unfathomably heavy. You could train with this to get significantly stronger.,通用
Ice Cream,冰淇淋,Ice Cream,稀有,多余的能量可以留到下一回合。,Energy is now conserved between turns.,“好吃！”,Delicious!,通用
Lizard Tail,蜥蜴尾巴,Lizard Tail,稀有,当你要被杀死时，免死并回复到最大生命值的 #b50% （仅能起效一次）。,"When you would die, heal to #b50% of your Max HP instead (works once).",在战斗中可以用来骗过敌人的假尾巴。,A fake tail to trick enemies during combat.,通用
Magic Flower,魔法花,Magic Flower,稀有,战斗中的回复效果提升 #b50% 。,Healing is #b50% more effective during combat.,被认为是早已绝种的一朵花，竟被完美地保存了下来。,"A flower long thought extinct, somehow preserved in perfect condition.",通用
Mango,芒果,Mango,稀有,拾起时，将你的最大生命值提升 #b14。,"Upon pickup, raise your Max HP by #b14.",在众多被遗忘的水果中最令人垂涎的一种。被完美地保存了下来，没有任何受到高塔荒疫影响的迹象。,The most coveted forgotten fruit. Impeccably preserved with no signs of Spireblight.,通用
Old Coin,古钱币,Old Coin,稀有,拾起时，获得 #b300 #y金币,"Upon pickup, gain #b300 #yGold.",因为其历史价值和稀有金属成分而被商人出以高价的独特钱币。,Unique coins are highly valued by merchants for their historical value and rare metallic composition.,通用
Peace Pipe,宁静烟斗,Peace Pipe,稀有,现在你可以在休息处移除你牌组中的牌。,You can now remove cards from your deck at Rest Sites.,放空心智，洁净灵魂。,Clears the mind and cleanses the soul.,通用
Prayer Wheel,转经轮,Prayer Wheel,稀有,普通敌人多掉落一次卡牌奖励。,Normal enemies drop an additional card reward.,经轮一直转动，永远不停。,"The wheel continues to spin, never stopping.",通用
Shovel,铲子,Shovel,稀有,现在你可以在休息处 #y挖掘 遗物。,You can now #yDig for relics at Rest Sites.,高塔中有着无数过去文明遗留下的遗物和强大的冒险者们遗失的宝物，现在你可以把它们挖出来了！,The Spire houses all number of relics from past civilizations and powerful adventurers lost to time. Time to go dig them up!,通用
Turnip,萝卜,Turnip,稀有,你不会再被 #y脆弱 。,You can no longer become #yFrail.,与生姜搭配尤为适合,"Best with Ginger.""",通用
Sundial,日晷,Sundial,罕见,你每洗牌 #b3次，获得2点能量。,"Every #b3 times you shuffle your draw pile, gain 2 energy.","“古代人类愚昧地执着于时间，他们抬头望向天空，希望能得到永恒的引导。”——佐罗斯""","Early man's foolish obsession with time caused them to look to the sky for guidance, hoping for something permanent."" - Zoroth",通用
The Specimen,生物样本,The Specimen,稀有,每当有敌人死去时，将其身上的 #y中毒 层数移到一名随机敌人身上。,"Whenever an enemy dies, transfer any #yPoison it has to a random enemy.",“有意思！我发现了一个有着惊人毒性的变异生物，先采集份样本以后再仔细研究吧。”——兰伟德,Fascinating! I found a mutated creature demonstrating astounding toxic properties. Storing a sample for later examination.- Ranwid,静默猎手
Thread and Needle,针线,Thread and Needle,稀有,在每场战斗开始时，获得 #b4层 #y多层护甲 。,Start each combat with #b4 #yPlated #yArmor.,将这些魔法线缠绕在你的周围时，你觉得自己变得更坚硬了。,"Wrapping the magical thread around your body, you feel harder to the touch.",通用
Tingsha,铜钹,Tingsha,稀有,你每在你的回合丢弃一张牌，就对一名随机敌人造成 #b 点伤害。,"Whenever you discard a card during your turn, deal #b3 damage to a random enemy.",这件乐器发出的响声似乎能回荡到让人耳朵发痛。,The sound this instrument generates seems to be capable of reverberating to painful levels of volume.,静默猎手
Torii,鸟居,Torii,稀有,每当你受到小于等于 #b5点的未被格挡 #y攻击 伤害时，将伤害降低为 #b1。,"Whenever you would receive #b5 or less unblocked attack damage, reduce it to #b1.",你拿着这个小小的鸟居，感觉心中有一股宁静与安全的感觉。,"Holding the small Torii, you feel a sense of calm and safety drift through your mind.",通用
Tough Bandages,结实绷带,Tough Bandages,稀有,你每在你的回合丢弃一张牌，就获得 #b3点 #y格挡 。,"Whenever you discard a card during your turn, gain #b3 #yBlock.",失去给人带来力量,Loss gives strength.,静默猎手
Unceasing Top,不休陀螺,Unceasing Top,稀有,在你的回合，当你没有手牌时，抽一张牌。,"Whenever you have no cards in hand during your turn, draw a card.",这个陀螺始终轻松地旋转着，让你觉得自己仿佛是在梦中。,The top continues to spin effortlessly as if you were in a dream.,通用
Incense Burner,香炉,Incense Burner,稀有,每 #b6 回合，获得 #b1 层 #y无实体 。,"Every #b6 turns, gain #b1 #yIntangible.",香炉中的烟让拥有者获得被焚烧者的灵力。,The smoke imbues its owner with the spirit of the burned.,通用
Stone Calendar,历石,StoneCalendar,稀有,在第 #b7 回合结束时，对所有敌人造成 #b52 点伤害。,"At the end of turn #b, deal #b damage to ALL enemies.",在高塔中几乎感觉不到时间的流逝。,The passage of time is imperceptible in the Spire.,通用
Pocketwatch,怀表,Pocketwatch,稀有,若你在某个回合打出的牌少于等于 #b3 张，则在你的下个回合开始时额外抽 #b3 张牌。,"Whenever you play #b3 or less cards during your turn, draw #b3 additional cards at the start of your next turn.",指针似乎永远卡在3点的位置。,The hands seem stuck on the 3 o'clock position.,通用
Fossilized Helix,螺类化石,FossilizedHelix,稀有,阻止你在每场战斗中第一次受到的生命值损伤。,Prevent the first time you would lose HP each combat.,似乎坚不可摧，你很好奇究竟是何种生物曾拥有这样的部分。,"Seemingly indestructible, you wonder what kind of creature this belonged to.",通用
Winged Greaves,羽翼之靴,WingedGreaves,稀有,你在选择下一层的房间时有3次机会可以无视当前的路线。,You may ignore paths when choosing the next room to travel to #b3 times.,很帅气。,Stylish.,通用
